"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"o3 (high)","86.30","85.85","0.52%","+9.5%","-","-","¥65.41","292","25-04-16","1"
"o4 mini (high)","84.55","80.87","4.35%","+5%","-","-","¥9.86","32","25-04-16","1"
"Gemini 2.5 Pro 0325","79.44","77.84","2.01%","-","-","-","-","73","25-03-25","1"
"Grok3 mini","76.69","72.63","5.29%","-","-","-","¥2.41","3.65","25-04-10","1"
"Sonnet 3.7 Thinking","73.13","67.34","7.92%","-","-","-","¥54.87","108","25-02-19","1"
"Gemini 2.5 Flash (Think)","71.23","63.69","10.59%","+41%","-","-","¥10.29","22.55","24-04-17","1"
"Doubao1.5-thinking-pro","71.06","67.94","4.39%","-","-","-","¥5.11","16","25-04-15","1"
"DeepSeek R1","69.61","-","-","-","-","-","¥4.40","16","25-01-20","1"
"Qwen-QwQ 32B","67.34","61.51","8.66%","-","-","-","¥1.98","4","25-03-06","1"
"GPT-4.1 mini","64.21","54.55","15.04%","-","-","-","¥1.30","11.6","25-04-15","0"
"SenseNova-V6-Reasoner","64.03","55.28","13.67%","-","-","-","¥5.46","16","25-04-10","1"
"Grok3 Thinking","63.27","-","-","-","-","-","-","-","25-02-18","1"
"DeepSeek V3 0324","60.77","50.91","16.23%","-","-","-","¥1.13","8","25-03-24","0"
"ERNIE X1","58.26","45.52","21.87%","-","-","-","¥3.05","8","25-04-02","1"
"GPT 4.5","57.70","48.24","16.40%","-","-","-","¥52.10","1080","25-02-27","0"
"Gemini 2.5 Flash","57.53","47.61","17.24%","+20.8%","-","-","¥0.39","4.38","24-04-17","0"
"Step R1 mini","57.51","52.07","9.46%","-","-","-","¥1.66","8","25-04-08","1"
"GPT 4.1","54.34","40.87","24.79%","-","-","-","¥5.85","58","25-04-15","0"
"GPT-4o 0327","52.08","44.25","15.03%","+63.9%","-","-","¥7.24","108","25-03-27","0"
"hunyuan T1 0403","48.93","38.80","20.70%","-","-","-","¥1.63","4","25-04-03","1"
"Sonnet 3.7 0219","48.31","42.69","11.63%","-","-","-","¥2.75","108","25-02-19","0"
"Grok3 Beta","48.29","42.19","12.63%","-","-","-","¥8.58","108","25-04-10","0"
"GLM-Z1-Flash","46.91","26.42","43.68%","-","-","-","-","-","25-04-15","1"
"SenseNova-V6-Pro","46.33","25.81","44.29%","+406%","-","-","¥0.63","9","25-04-10","0"
"Kimi K1.5","40.36","-","-","-","-","-","-","-","25-01-20","1"
"Llama4 Maverick","39.33","34.74","11.67%","-","-","-","-","-","25-04-05","0"
"Doubao1.5 250115","37.22","31.49","15.39%","-","-","-","¥0.10","2","25-01-22","0"
"GLM-4-Air-0414","36.85","32.59","11.56%","-","-","-","¥0.05","0.5","25-04-14","0"
"Spark X1 0420","35.57","20.76","41.64%","-","-","-","-","-","25-04-20","0"
"qwen-max-2025-01-25","33.18","-","-","-","-","-","¥0.44","9.6","25-01-25","0"
"hunyuan TurboS 0416","31.90","20.82","34.73%","+3%","-","-","¥0.11","2","25-02-29","0"
"MiniMax-Text-01","28.90","-","-","-","-","-","¥0.34","8","25-01-13","0"
"ERNIE 4.5 0316","28.32","22.65","20.02%","-","-","-","¥0.57","16","25-03-16","0"
"YI-Lightning","25.85","-","-","-","-","-","¥0.04","0.99","24-10-16","0"
"TianGong O1 0104","25.71","-","-","-","-","-","-","-","25-01-04","1"
"Step-2","24.78","-","-","-","-","-","¥3.13","120","24-09-03","0"
"Llama4 Scout","21.48","16.16","24.77%","-","-","-","-","-","25-04-05","0"
"Baichuan4 Turbo","17.66","-","-","-","-","-","¥0.38","15","24-11-01","0"
