"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"GPT-6 Astra (xhigh)","91.27","88.75","2.76%","+25.1%","241","12198","¥117.83","¥345.00","26-09-05","1"
"Fable 5.1 (xhigh ~Estimated)","84.56","81.33","3.82%","-","481","41434","¥400.25","¥345.00","26-09-02","1"
"GPT-5.6 Sol (xhigh)","78.90","68.36","13.36%","-","478","21006","¥81.17","¥138.00","26-07-10","1"
"Opus 5 (xhigh)","71.20","63.63","10.63%","-","500","29868","¥144.26","¥172.50","26-07-25","1"
"Fable 5.1 (xhigh w/ refuse)","66.70","63.47","4.84%","-","481","41434","¥400.25","¥345.00","26-09-02","1"
"Kimi-K3 (max)","69.13","61.86","10.52%","+32.6%","1241","38577","¥113.42","¥105.00","26-07-16","1"
"DeepSeek V4.1 Flash (max)","68.74","61.54","10.47%","+18.9%","584","85949","¥19.25","¥8.00","26-09-10","1"
"Gemini 3.8 Flash (high)","68.08","60.34","11.37%","+9.4%","395","39333","¥28.50","¥25.88","26-09-03","1"
"GLM-5.3 (max)","69.69","57.52","17.46%","+16.8%","1187","64363","¥50.46","¥28.00","26-08-19","1"
"Gemini 3.1 Pro (high)","67.50","55.47","17.82%","+5.8%","238","23891","¥55.39","¥82.80","26-02-19","1"
"GLM-5.3-Flash (max)","64.06","55.16","13.89%","-","1025","44240","¥3.47","¥2.80","26-08-26","1"
"Muse Spark 1.3 (max)","66.72","54.40","18.47%","+38%","439","66822","¥54.87","¥29.33","26-09-02","1"
"DeepSeek V4 Pro 0813 (max)","64.73","53.70","17.04%","+26.4%","1643","60698","¥45.89","¥27.00","26-08-13","1"
"Qwen3.8-Max (xhigh)","59.80","53.55","10.45%","-","1419","70320","¥70.88","¥36.00","26-08-03","1"
"DeepSeek V4.1 Flash (high)","63.26","52.09","17.66%","-","640","68561","¥15.36","¥8.00","26-09-10","1"
"Grok 4.6 (high)","64.54","49.99","22.54%","+5.7%","834","36510","¥42.32","¥41.40","26-08-13","1"
"Qwen3.8-Flash (xhigh)","59.09","48.14","18.53%","-","897","62634","¥4.74","¥2.70","26-08-26","1"
"GPT-5.6 Luna (xhigh)","59.93","44.29","26.10%","-","308","39417","¥9.14","¥8.28","26-07-10","1"
"Seed-2.1-pro (high)","50.78","40.23","20.78%","+7.7%","2139","69582","¥58.45","¥30.00","26-06-23","1"
"Gemini 3.7 Flash (low)","48.83","39.72","18.66%","-","57","9377","¥6.79","¥25.88","26-08-13","1"
"Qwen3.8-27B (xhigh)","50.53","39.48","21.87%","-","2180","71692","¥24.09","¥12.00","26-08-14","1"
"Muse Spark 1.2 (xhigh)","51.64","39.39","23.72%","-","340","39800","¥32.68","¥29.33","26-08-05","1"
"Hy3 (high)","46.52","37.69","18.98%","+23.2%","1113","46845","¥5.25","¥4.00","26-07-06","1"
"MiniMax-M3","38.42","33.16","13.69%","+33.3%","1030","67827","¥15.95","¥8.40","26-06-01","1"
"Qwen3.7-Plus (high)","43.41","31.59","27.23%","+24.9%","1227","57472","¥12.87","¥8.00","26-06-02","1"
"Sonnet 5 (xhigh)","40.34","31.55","21.79%","-","645","51921","¥100.31","¥69.00","26-07-01","1"
"Seed-2.0-lite 0428 (high)","29.80","22.52","24.43%","-","639","23332","¥2.35","¥3.60","26-05-07","1"
"Opus 5","30.55","20.59","32.60%","+14%","201","13862","¥66.95","¥172.50","26-07-25","0"
"Gemini 3.5 Flash Lite (high)","26.71","19.76","26.02%","+27.1%","185","16583","¥8.01","¥17.25","26-07-21","1"
"Spark X2.5","32.45","17.73","45.36%","+317%","645","45239","¥7.60","¥6.00","26-09-06","1"
"Ling-3.0-flash","22.39","13.47","39.84%","-","727","82850","-","-","26-07-24","1"
"MiMo-V2.5-Pro","24.84","12.52","49.60%","+18.9%","631","30724","¥5.16","¥6.00","26-04-23","1"
"Gemma 4 31B","15.38","12.51","18.66%","-","706","14569","¥1.13","¥2.76","26-04-03","1"
"GPT-5.5 Instant","18.71","12.11","35.28%","-","29","1599","¥9.27","¥207.00","26-05-06","0"
"Step-3.7-Flash","23.37","12.05","48.44%","-","317","45857","¥10.40","¥8.10","26-05-29","1"
"openPangu-2.0-Pro","15.15","11.19","26.14%","-","707","29159","¥11.84","¥14.50","26-07-31","1"
"Qwen3.7-Plus","14.94","10.81","27.64%","-","305","8554","¥1.92","¥8.00","26-06-02","0"
"Mistral Medium 3.5","13.11","10.61","19.07%","-","206","26507","¥38.41","¥51.75","26-04-30","1"
"Dots3-Note Preview","15.82","10.32","34.77%","-","218","23936","-","-","26-08-14","1"
"DeepSeek V4.1 Flash","13.94","9.96","28.55%","+56.6%","29","3838","¥0.86","¥8.00","26-09-10","0"
"openPangu-2.0-Flash","15.58","9.05","41.91%","-","593","27215","¥1.22","¥1.60","26-06-30","1"
"Qwen3.8-27B","12.23","8.90","27.23%","-","194","8565","¥2.88","¥12.00","26-08-14","0"
"ERNIE 5.1","13.07","7.62","41.70%","+2.4%","479","23797","¥11.99","¥18.00","26-05-09","1"
"Gemini 3.1 Flash Lite","8.71","7.26","16.65%","-","11","712","¥0.21","¥10.35","26-03-03","0"
"Sonnet 5","12.94","6.57","49.23%","+21%","124","7196","¥13.90","¥69.00","26-07-01","0"
"LongCat-2.0","13.58","6.52","51.99%","-","379","13041","¥2.92","¥8.00","26-06-30","1"
"Seed-2.1-pro","13.35","4.74","64.49%","-","338","8751","¥7.35","¥30.00","26-06-23","0"
"Mistral Medium 3.5","6.06","4.41","27.23%","-","17","2069","¥3.00","¥51.75","26-04-30","0"
