"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"kimi-k2-0905-preview","48.72","33.18","31.89%","+71%","242","3849","¥1.72","¥16.00","25-09-05","0"
"Qwen3-Next-80B-A3B","48.64","35.65","26.71%","-","81","5941","¥0.67","¥4.00","25-09-12","0"
"讯飞星火X1.5","47.20","30.70","34.94%","+42%","1338","22657","¥7.61","¥12.00","25-11-03",""
"Claude Opus 4","46.98","36.88","21.49%","-","52","1915","¥28.95","¥540.00","25-05-23","0"
"GLM-4.5-Air(Think)","46.63","38.74","16.92%","-","299","18303","¥1.02","¥2.00","25-07-28","1"
"Hunyuan T1 0711","45.74","34.72","24.09%","+29.9%","381","21870","¥2.45","¥4.00","25-07-11","1"
"Step-3","42.08","33.59","20.17%","-","754","15557","¥3.48","¥8.00","25-07-31","1"
"gpt-oss-20b(high)","41.98","31.65","24.60%","-","49","10833","¥0.44","¥1.44","25-08-05","1"
"Qwen3-32B(Think)","41.76","26.40","36.80%","-","526","17380","¥9.73","¥20.00","25-04-29","1"
"Ling-1T","41.01","33.32","18.74%","-","213","6319","¥2.83","¥16.00","25-10-09","0"
"SenseNova-V6.5-Pro","39.82","28.23","29.12%","+12.9%","853","20643","¥5.20","¥9.00","25-07-26","1"
"GLM-4.6","35.02","25.94","25.93%","+5.7%","42","3574","¥0.80","¥8.00","25-09-30","0"
"DeepSeek V3.2","34.50","29.99","13.07%","-","112","2861","¥0.24","¥3.00","25-09-29","0"
"Gemini 2.5 Flash 0925","32.51","26.17","19.48%","+19%","14","3538","¥1.78","¥18.00","25-09-25","0"
"Hunyuan TurboS 0926","31.77","25.03","21.21%","+25.9%","124","6037","¥0.34","¥2.00","25-09-29","0"
"Claude Sonnet 4.5","30.01","25.05","16.52%","-15%","19","1262","¥3.82","¥108.00","25-09-29","0"
"Qwen3-30B-A3B-2507","29.17","22.58","22.58%","-","57","5836","¥0.49","¥3.00","25-07-29","0"
"Doubao-Seed-1.6 1015","28.94","25.66","11.34%","+26.2%","23","1026","¥0.23","¥8.00","25-10-16","0"
"GLM-4.5-Air","27.41","19.18","30.04%","-","72","4328","¥0.24","¥2.00","25-07-28","0"
"ERINE-4.5 Turbo","27.37","20.56","24.87%","+55.6%","86","2545","¥0.23","¥3.20","25-04-24","0"
"Grok4 Fast","27.24","21.51","21.05%","-","9","1352","¥0.14","¥3.60","25-09-19","0"
"Ling-flash-2.0","26.40","21.51","18.53%","-","160","6586","¥0.74","¥4.00","25-09-18","0"
"Claude Haiku 4.5","23.75","17.97","24.34%","-","7","877","¥0.88","¥36.00","25-10-16","0"
"Mistral Medium 3.1","23.02","20.02","13.02%","-","25","2367","¥0.95","¥14.40","25-08-13","0"
"Qwen3-32B","19.85","17.05","14.13%","-","24","816","¥0.18","¥8.00","25-04-29","0"
