"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"Gemini 3 Pro","87.92","83.55","4.97%","+54.7%","113","12116","¥29.31","¥86.40","25-11-19","1"
"GPT-5(high)","87.18","83.75","3.94%","-","371","18705","¥37.71","¥72.00","25-08-07","1"
"GPT-5.1 (high)","84.77","79.53","6.18%","-5%","327","23706","¥47.79","¥72.00","25-11-12","1"
"GPT-5 Mini(high)","80.48","76.15","5.38%","-","252","23977","¥9.67","¥14.40","25-08-07","1"
"Claude Sonnet 4.5(Think)","79.14","66.70","15.73%","+29%","199","11624","¥35.15","¥108.00","25-09-29","1"
"Kimi-K2-Thinking","79.01","64.58","18.27%","-","1232","26367","¥11.81","¥16.00","25-11-06","1"
"Grok4","76.62","69.52","9.26%","+35.2%","259","15281","¥46.21","¥108.00","25-07-10","1"
"Grok4 Fast(Think)","71.49","62.72","12.27%","-","73","12199","¥1.23","¥3.60","25-09-19","1"
"Qwen3-Max(Think)","68.37","53.60","21.60%","-","546","24015","¥16.14","¥24.00","25-11-02","1"
"DeepSeek V3.2(Think)","65.42","50.77","22.40%","-","607","15698","¥1.32","¥3.00","25-09-29","1"
"MiniMax-M2","62.02","42.14","32.05%","+72%","266","21160","¥4.98","¥8.40","25-10-27","1"
"ERNIE 5.0","60.61","40.69","32.86%","+78%","746","16613","¥11.16","¥24.00","25-11-12","1"
"gpt-oss-120b(high)","59.37","47.57","19.88%","-","48","6510","¥0.66","¥3.60","25-08-05","1"
"Doubao-Seed-1.6 1015 (Think)","59.10","47.42","19.76%","+0.5%","357","13949","¥3.12","¥8.00","25-10-16","1"
"Ring-1T","58.61","43.08","26.50%","-","878","24242","¥10.86","¥16.00","25-10-14","1"
"Qwen3-235B-A22B-2507(Think)","58.36","51.81","11.22%","+14.5%","418","20240","¥11.33","¥20.00","25-07-25","1"
"Gemini 2.5 Pro","56.81","47.67","16.08%","+2%","95","11287","¥22.75","¥72.00","25-06-05","1"
"Gemini 2.5 Flash 0925(Think)","55.16","44.80","18.78%","+26%","41","10144","¥5.11","¥18.00","25-09-25","1"
"Qwen3-Max","55.05","46.94","14.74%","+5.2%","127","4648","¥3.12","¥24.00","25-09-24","0"
"Doubao-Seed-1.6-thinking-0715","54.40","44.49","18.22%","-","346","16537","¥3.70","¥8.00","25-07-14","1"
"Qwen3-Next-80B-A3B(Think)","51.23","40.77","20.41%","-","420","30398","¥8.51","¥10.00","25-09-12","1"
"GLM-4.6(Think)","51.10","37.69","26.23%","+3%","139","10239","¥2.29","¥8.00","25-09-30","1"
"Qwen3-235B-A22B-2507","49.64","38.08","23.30%","+54%","211","5289","¥1.18","¥8.00","25-07-21","0"
"Seed-OSS-36B","49.39","37.24","24.60%","-","724","19045","¥2.13","¥4.00","25-08-21","1"
"Qwen3-30B-A3B-2507(Think)","49.33","42.63","13.58%","+14.7%","174","17443","¥3.66","¥7.50","25-07-29","1"
