"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"o3 mini medium","85.88","-","-","-","-","-","¥1.82","32","25-01-31","1"
"Gemini 2.5 Pro 0325","85.87","84.27","1.86%","-","-","-","-","-","25-03-25","1"
"O1","84.17","-","-","-","-","-","¥13.43","432","24-12-17","1"
"Sonnet 3.7 Thinking","79.05","73.76","6.69%","-","-","-","¥54.87","108","25-02-19","1"
"DeepSeek R1","75.52","-","-","-","-","-","¥4.40","16","25-01-20","1"
"Qwen-QwQ 32B","73.26","68.15","6.98%","+230%","-","-","¥1.98","4","25-03-06","1"
"Grok3 Thinking","69.39","-","-","-","-","-","-","-","25-02-18","1"
"DeepSeek V3 0324","67.40","57.54","14.63%","+53.4%","-","-","¥1.13","8","25-03-24","0"
"GPT 4.5","64.13","55.39","13.63%","+77.6%","-","-","¥52.10","1080","25-02-27","0"
"hunyuan T1","61.51","51.34","16.53%","-","-","-","¥1.63","4","25-03-21","1"
"Sonnet 3.7 0219","55.45","49.83","10.14%","-","-","-","¥2.75","108","25-02-19","0"
"gemini-2.0-flash-thinking-exp-0121","57.12","-","-","-","-","-","-","-","25-01-21","1"
"Kimi K1.5","45.97","-","-","-","-","-","-","-","25-01-20","1"
"GLM Zero preview","50.54","-","-","-","-","-","¥1.87","10","24-12-30","1"
"Grok3 0218","47.81","-","-","-","-","-","-","-","25-02-18","0"
"Doubao1.5 250115","44.37","38.04","14.27%","-","-","-","¥0.10","2","24-01-22","0"
"gemini-2.0-flash-001","41.55","-","-","-","-","-","¥0.20","2.88","25-02-05","0"
"qwen-max-2025-01-25","40.32","-","-","-","-","-","¥0.44","9.6","25-01-25","0"
"GPT-4o 0129","36.11","-","-","-","-","-","¥2.63","72","25-01-29","0"
"ERNIE 4.5 0316","33.93","28.26","16.71%","+73.6%","-","-","¥0.57","16","25-03-16","0"
"hunyuan TurboS 0229","28.28","19.68","30.41%","+49.6%","-","-","-","-","25-02-29","0"
"TianGong O1 0104","28.26","-","-","-","-","-","-","-","25-01-04","1"
"YI-Lightning","30.79","-","-","-","-","-","¥0.04","0.99","24-10-16","0"
"Step-2","29.11","-","-","-","-","-","¥3.13","120","24-09-03","0"
"Gemm3-27B","24.76","21.31","13.93%","-","-","-","-","-","25-03-12","0"
"MiniMax-Text-01","32.05","-","-","-","-","-","¥0.34","8","25-01-13","0"
"Mistral large 2411","23.46","-","-","-","-","-","¥1.80","43.2","24-11-18","0"
"Baichuan4 Turbo","19.45","-","-","-","-","-","¥0.38","15","24-11-01","0"
"Spark 4.0 Turbo 0115","18.11","-","-","-","-","-","¥2.35","70","25-01-15","0"
"SenseNova 5.5","13.45","-","-","-","-","-","¥0.49","20","24-08-01","0"
"GPT-4o mini","14.66","-","-","-","-","-","¥0.10","4.3","24-07-18","0"
