"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"Claude Opus 4.8 (xhigh)","88.32","68.32","22.64%","+9.9%","518","37987","¥183.48","¥172.50","26-05-29","1"
"GPT-5.5 (xhigh)","85.57","82.37","3.73%","+3.4%","363","24490","¥141.94","¥207.00","26-04-24","1"
"Gemini 3.1 Pro (high)","81.29","67.91","16.46%","+5.8%","217","26027","¥60.34","¥82.80","26-02-19","1"
"Claude Opus 4.6 (Think)","80.31","76.71","4.49%","-","519","40093","¥193.65","¥172.50","26-02-06","1"
"DeepSeek V4 Pro (max)","78.40","67.92","13.37%","-","1633","56302","¥9.46","¥6.00","26-04-24","1"
"Gemini 3.5 Flash (high)","78.21","74.17","5.17%","+24.6%","186","35118","¥61.06","¥62.10","26-05-20","1"
"Doubao-Seed-2.0-pro  (high)","72.36","61.28","15.31%","+23.3%","666","40316","¥18.06","¥16.00","26-02-14","1"
"Kimi-K2.6","69.43","50.90","26.69%","+4.8%","738","40890","¥30.91","¥27.00","26-04-20","1"
"GLM-5.1 (Think)","67.41","58.36","13.43%","+8.5%","641","31950","¥21.47","¥24.00","26-04-08","1"
"DeepSeek V4 Flash (max)","67.22","51.92","22.76%","-","632","47619","¥2.67","¥2.00","26-04-24","1"
"Gemini 3 Flash (high)","62.77","53.01","15.55%","+65%","237","47280","¥27.40","¥20.70","25-12-18","1"
"Tencent Hy3 preview","61.42","50.58","17.64%","+71.2%","224","30039","¥3.36","¥4.00","26-04-23","1"
"Qwen3.6-Max-Preview (Think)","60.15","51.55","14.29%","+12%","656","29121","¥44.03","¥54.00","26-04-20","1"
"Qwen3.6-Plus (Think)","58.86","48.32","17.91%","+9.27%","601","41901","¥14.08","¥12.00","26-04-02","1"
"GPT-5.4 Mini (high)","56.98","44.52","21.87%","-10.5%","257","32238","¥28.03","¥31.05","26-03-18","1"
"Grok 4.20 Beta (Think)","55.92","41.32","26.11%","+19.2%","115","20796","¥24.11","¥41.40","26-03-12","1"
"Claude Opus 4.6","55.14","45.67","17.18%","+42.5%","131","11313","¥54.64","¥172.50","26-02-06","0"
"Doubao-Seed-2.0-lite 0428 (high)","54.71","47.65","12.91%","-","655","27968","¥2.82","¥3.60","26-05-07","1"
"Claude Sonnet 4.5 (Think)","52.62","40.88","22.31%","+29%","250","15911","¥46.11","¥103.50","25-09-29","1"
"MiniMax-M2.7","51.75","37.85","26.86%","-","690","35511","¥8.35","¥8.40","26-03-18","1"
"Gemini 3.5 Flash (minimal)","46.55","35.82","23.06%","+64.8%","33","5516","¥9.59","¥62.10","26-05-20","1"
"Qwen3.5-27B (Think)","45.42","35.99","20.76%","-","469","30169","¥4.05","¥4.80","26-02-25","1"
"Grok 4.3","45.24","36.63","19.03%","-","210","21654","¥10.46","¥17.25","26-05-01","1"
"MiMo-V2.5-Pro","43.50","29.25","32.76%","+18.9%","337","23789","¥4.00","¥6.00","26-04-23","1"
"Qwen3.6-Max-Preview","42.57","34.90","18.01%","+18.2%","175","8682","¥13.13","¥54.00","26-04-20","0"
"Gemma 4 31B (Think)","42.42","34.24","19.27%","-","1048","17509","¥1.35","¥2.76","26-04-03","1"
"GPT-5.5 Instant","42.39","30.23","28.69%","-","22","1996","¥11.57","¥207.00","26-05-06","0"
"Qwen3.6-Plus","41.92","34.54","17.61%","+4.5%","67","8387","¥2.82","¥12.00","26-04-02","0"
"Step-3.5-Flash","40.72","27.24","33.09%","+70.9%","255","41413","¥2.44","¥2.10","26-02-02","1"
"LongCat-Flash-Thinking-2601","40.06","24.99","37.62%","-","548","39429","-","-","26-01-23","1"
"ERNIE 5.1","37.50","30.60","18.42%","+2.4%","487","31596","¥15.92","¥18.00","26-05-09","1"
"Step-3.7-Flash","36.75","18.74","49.01%","-","162","42646","¥9.67","¥8.10","26-05-29","1"
"ERNIE 5.0","36.60","24.25","33.75%","+14.9%","876","24428","¥16.42","¥24.00","26-01-20","1"
"Gemini 3.1 Flash Lite (high)","35.03","24.34","30.51%","-","104","47928","¥13.89","¥10.35","25-03-03","1"
"Mistral Medium 3.5 (Think)","33.19","26.68","19.62%","-","169","36036","¥52.22","¥51.75","26-04-30","1"
"MiMo-V2.5","31.46","22.35","28.93%","-","125","14930","¥0.84","¥2.00","26-04-23","1"
"Claude Sonnet 4.6","29.46","22.75","22.78%","+91.5%","45","3515","¥10.63","¥108.00","26-02-17","0"
"DeepSeek V4 Flash","28.68","21.07","26.55%","-","39","2457","¥0.14","¥2.00","26-04-24","0"
"Gemini 3 Flash","28.24","22.92","18.85%","+39.5%","11","1236","¥0.72","¥20.70","25-12-18","0"
"Doubao-Seed-2.0-pro","27.07","20.01","26.07%","+44.2%","34","2021","¥0.91","¥16.00","26-02-14","0"
"GLM-5.1","26.74","21.93","17.98%","-","38","2054","¥1.38","¥24.00","26-04-08","0"
"讯飞星火X2","26.49","17.61","33.52%","-","609","15657","¥0.88","¥2.00","26-02-11","1"
"Ling-2.6-1T","26.16","19.65","24.90%","-","55","6572","¥2.94","¥16.00","26-04-23","0"
