"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"GPT-5.2 (high)","86.24","81.83","5.12%","+5.6%","294","15597","¥44.02","¥100.80","25-12-12","1"
"Gemini 3 Pro","84.85","79.29","6.56%","+54.7%","127","13306","¥32.19","¥86.40","25-11-19","1"
"DeepSeek V3.2-Speciale","84.74","72.68","14.23%","-","731","37324","¥3.14","¥3.00","25-12-01","1"
"GPT-5.1 (high)","83.07","77.54","6.66%","-5%","363","25778","¥51.97","¥72.00","25-11-12","1"
"Gemini 3 Flash (high)","81.60","76.90","5.76%","+65%","214","42611","¥25.77","¥21.60","25-12-18","1"
"GPT-5 Mini(high)","79.38","75.05","5.45%","-","294","24818","¥10.01","¥14.40","25-08-07","1"
"Doubao-Seed-1.8 (high)","76.00","63.06","17.03%","+40.7%","628","24869","¥5.57","¥8.00","25-12-18","1"
"Claude Sonnet 4.5(Think)","74.72","62.70","16.09%","+29%","206","12618","¥38.16","¥108.00","25-09-29","1"
"GLM-4.7(Think)","74.72","65.49","12.35%","+58.3%","379","17736","¥6.95","¥14.00","25-12-23","1"
"Kimi-K2-Thinking","74.34","59.34","20.17%","-","1332","27721","¥12.42","¥16.00","25-11-06","1"
"Grok 4","73.90","65.61","11.22%","+35.2%","306","16824","¥50.88","¥108.00","25-07-10","1"
"DeepSeek V3.2-1201(Think)","72.99","56.73","22.28%","+19%","603","17165","¥1.44","¥3.00","25-12-01","1"
"Grok 4.1 Fast(Think)","65.98","57.68","12.58%","-","185","16425","¥1.66","¥3.60","25-11-19","1"
"Qwen3-Max(Think)","64.24","49.68","22.66%","-","558","24545","¥16.49","¥24.00","25-11-02","1"
"MiniMax-M2","59.98","40.53","32.43%","+72%","263","21247","¥5.00","¥8.40","25-10-27","1"
"ERNIE 5.0","55.57","36.10","35.03%","+78%","769","16886","¥11.35","¥24.00","25-11-12","1"
"Tencent HY 2.0 Think","55.36","40.88","26.15%","32.1%","248","15481","¥1.73","¥4.00","25-12-05","1"
"Doubao-Seed-1.6 1015 (Think)","54.00","43.34","19.74%","+0.5%","359","14276","¥3.20","¥8.00","25-10-16","1"
"gpt-oss-120b(high)","53.25","41.96","21.20%","-","59","7121","¥0.72","¥3.60","25-08-05","1"
"MiMo-V2-Flash(Think)","53.11","36.56","31.16%","-","240","22722","¥1.37","¥2.16","25-12-17","1"
"Qwen3-235B-A22B-2507(Think)","52.75","46.71","11.45%","+14.5%","440","22345","¥12.51","¥20.00","25-07-25","1"
"Ring-1T","52.49","36.96","29.59%","-","876","25337","¥11.35","¥16.00","25-10-14","1"
"Doubao-Seed-1.8 (medium)","50.97","42.95","15.73%","-","125","5721","¥1.28","¥8.00","25-12-18","1"
"Qwen3-Max","50.46","42.85","15.07%","+5.2%","124","4535","¥3.05","¥24.00","25-09-24","0"
"Gemini 2.5 Flash 0925(Think)","49.41","39.19","20.70%","+26%","45","11524","¥5.81","¥18.00","25-09-25","1"
"Claude Opus 4.5","48.66","33.08","32.01%","+14.4%","27","1542","¥7.77","¥180.00","25-11-25","0"
"Doubao-Seed-1.6-thinking-0715","47.26","38.88","17.73%","-","353","16601","¥3.72","¥8.00","25-07-14","1"
"GLM-4.6(Think)","47.18","33.10","29.84%","+3%","190","14941","¥5.86","¥14.00","25-09-30","1"
"MiniMax-M2.1","47.00","36.72","21.86%","-21.6%","239","15853","¥3.73","¥8.40","25-12-23","1"
"DeepSeek V3.2-1201","46.59","32.72","29.76%","+46.5%","117","3304","¥0.28","¥3.00","25-12-01","0"
"GLM-4.7","46.08","35.02","23.99%","+48.1%","30","1568","¥0.61","¥14.00","25-12-23","0"
"Qwen3-Next-80B-A3B(Think)","45.62","36.18","20.69%","-","413","31238","¥8.75","¥10.00","25-09-12","1"
"Qwen3-30B-A3B-2507(Think)","45.25","39.06","13.68%","+14.7%","191","18679","¥3.92","¥7.50","25-07-29","1"
"Qwen3-235B-A22B-2507","45.05","34.51","23.41%","+54%","203","5462","¥1.22","¥8.00","25-07-21","0"
"Qwen3-Next-80B-A3B","44.56","31.57","29.16%","-","77","5843","¥0.65","¥4.00","25-09-12","0"
"讯飞星火X1.5","41.96","25.98","38.09%","+42%","1350","23282","¥7.82","¥12.00","25-11-03",""
"kimi-k2-0905-preview","41.95","26.04","37.93%","+71%","244","3891","¥1.74","¥16.00","25-09-05","0"
"Step-3","37.49","30.02","19.92%","-","728","15818","¥3.54","¥8.00","25-07-31","1"
"Ling-1T","35.39","28.22","20.27%","-","208","6262","¥2.81","¥16.00","25-10-09","0"
"SenseNova-V6.5-Pro","35.23","24.65","30.02%","+12.9%","856","20729","¥5.22","¥9.00","25-07-26","1"
"Doubao-Seed-1.8","31.11","20.32","34.70%","+26.7%","34","1249","¥0.28","¥8.00","25-12-18","0"
"GLM-4.6","30.94","23.90","22.76%","+5.7%","44","3671","¥1.44","¥14.00","25-09-30","0"
"Claude Sonnet 4.5","28.15","23.01","18.28%","-15%","19","1257","¥3.80","¥108.00","25-09-29","0"
"Gemini 2.5 Flash 0925","27.78","22.09","20.47%","+19%","15","3634","¥1.83","¥18.00","25-09-25","0"
"Mistral Large 3","26.35","21.01","20.27%","+29.9%","57","2239","¥0.68","¥10.80","25-12-03","0"
"Qwen3-30B-A3B-2507","24.58","19.01","22.65%","-","58","5953","¥0.50","¥3.00","25-07-29","0"
"Doubao-Seed-1.6 1015","24.54","21.06","14.15%","+26.2%","23","1033","¥0.23","¥8.00","25-10-16","0"
"MiMo-V2-Flash","24.06","15.21","36.76%","-","19","2172","¥0.13","¥2.16","25-12-17","0"
