"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"GPT-5 (high)","88.25","84.10","4.70%","-","308","-","¥41.18","¥72.00","25-08-07","1"
"GPT-5 Mini (high)","81.55","78.12","4.21%","-","172","-","¥8.24","¥14.40","25-08-07","1"
"Grok 4","79.07","74.79","5.42%","+35.2%","207","-","¥41.99","¥108.00","25-07-10","1"
"Grok4 Fast (Think)","73.81","67.59","8.43%","-","67","-","¥1.55","¥3.60","25-09-19","1"
"DeepSeek V3.1 (Think)","68.42","54.13","20.88%","+14%","672","-","¥5.20","¥12.00","25-08-19","1"
"gpt-oss-120b (high)","63.48","53.51","15.71%","-","46","-","¥0.60","¥3.60","25-08-05","1"
"Sonnet 4 (Think)","63.45","48.04","24.29%","+16.2%","143","-","¥29.27","¥108.00","25-05-23","1"
"Qwen3-235B-A22B-2507 (Think)","61.62","53.11","13.82%","+14.5%","426","-","¥11.29","¥20.00","25-07-25","1"
"Gemini 2.5 Pro","61.18","51.65","15.59%","+2%","90","-","¥22.43","¥72.00","25-06-05","1"
"Seed-1.6 (Think)","60.84","49.28","18.99%","-","262","-","¥2.48","¥8.00","25-06-11","1"
"Seed-1.6-thinking-0715","58.19","49.31","15.27%","-","336","-","¥3.64","¥8.00","25-07-14","1"
"Qwen3-Max-Preview","56.84","42.33","25.53%","-","100","-","¥2.64","¥24.00","25-09-05","0"
"Seed-OSS-36B","55.82","43.17","22.65%","-","712","-","¥2.08","¥4.00","25-08-21","1"
"Qwen3-Next-80B-A3B (Think)","55.52","43.59","21.49%","-","420","-","¥7.85","¥10.00","25-09-12","1"
"Qwen3-235B-A22B-2507","55.27","43.08","22.06%","+54%","224","-","¥1.11","¥8.00","25-07-21","0"
"kimi-k2-0905-preview","53.72","40.01","25.52%","+71%","261","-","¥1.83","¥16.00","25-09-05","0"
"GLM-4.5 (Think)","53.02","37.61","29.07%","-","558","-","¥3.78","¥8.00","25-07-28","1"
"Qwen3-30B-A3B-2507 (Think)","52.99","46.52","12.22%","+14.7%","156","-","¥3.37","¥7.50","25-07-29","1"
"Qwen3-Next-80B-A3B","52.48","38.42","26.80%","-","101","-","¥0.49","¥4.00","25-09-12","0"
"Hunyuan T1 0711","51.37","40.57","21.02%","+29.9%","350","-","¥2.28","¥4.00","25-07-11","1"
"GPT-5 Chat","49.81","36.82","26.09%","-","17","-","¥3.93","¥72.00","25-08-07","0"
"GLM-4.5-Air (Think)","49.40","42.18","14.62%","-","280","-","¥0.98","¥2.00","25-07-28","1"
"Opus 4","48.72","40.23","17.42%","-","52","-","¥28.53","¥540.00","25-05-23","0"
"gpt-oss-20b (high)","48.58","38.26","21.25%","-","38","-","¥0.40","¥1.44","25-08-05","1"
"Gemini 2.5 Flash (Think)","46.33","31.94","31.06%","+1.9%","55","-","¥6.55","¥18.00","25-05-20","1"
"Step-3","46.19","37.03","19.83%","-","777","-","¥3.43","¥8.00","25-07-31","1"
"Qwen3-32B (Think)","44.66","26.80","40.00%","-","558","-","¥10.26","¥20.00","25-04-29","1"
"DeepSeek V3.1","43.17","34.96","19.04%","-","127","-","¥0.93","¥12.00","25-08-19","0"
"SenseNova-V6.5-Pro","42.90","30.73","28.38%","+12.9%","749","-","¥5.07","¥9.00","25-07-26","1"
"MiniMax-M1","38.13","28.28","25.82%","-","1411","-","¥4.35","¥8.00","25-06-17","1"
"GLM-4.5","37.93","30.38","19.91%","-","114","-","¥0.87","¥8.00","25-07-28","0"
"Sonnet 4","37.22","29.18","21.60%","+33.3%","17","-","¥2.92","¥108.00","25-05-23","0"
"Spark X1 0725","36.66","28.30","22.80%","+91.1%","350","-","¥3.63","¥12.00","25-07-25","1"
"ERNIE X1.1","35.76","30.61","14.39%","+9.9%","499","-","¥1.04","¥4.00","25-09-08","1"
"Qwen3-30B-A3B-2507","33.10","26.51","19.90%","-","55","-","¥0.46","¥3.00","25-07-29","0"
"ERNIE 4.5 Turbo","32.46","24.40","24.82%","+55.6%","86","-","¥0.23","¥3.20","25-04-24","0"
"Grok4 Fast","29.70","23.29","21.56%","-","8","-","¥0.12","¥3.60","25-09-19","0"
"Ling-flash-2.0","29.35","25.12","14.39%","-","165","-","¥0.70","¥4.00","25-09-18","0"
"GLM-4.5-Air","29.07","20.03","31.10%","-","65","-","¥0.22","¥2.00","25-07-28","0"
"Gemini 2.5 Flash","27.82","20.91","24.85%","-9.4%","21","-","¥1.47","¥18.00","25-05-20","0"
"Llama4 Maverick","27.55","23.93","13.15%","-","19","-","-","-","25-04-05","0"
"Hunyuan TurboS 0716","26.85","21.14","21.25%","+29.9%","125","-","¥0.27","¥2.00","25-07-16","0"
"ERNIE-4.5-300B-A47B","26.07","19.94","23.52%","-","66","-","¥0.19","¥3.20","25-06-29","0"
"Seed-1.6","25.50","17.07","33.06%","+5.3%","29","-","¥0.20","¥8.00","25-06-11","0"
"Qwen3-32B","22.89","20.17","11.87%","-","25","-","¥0.19","¥8.00","25-04-29","0"
"Magistral Medium 2506 (Think)","21.79","9.62","55.86%","-","288","-","¥10.92","¥36.00","25-06-08","1"
