"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"Grok 4","89.42","86.77","2.96%","+35.2%","182","-","¥37.83","¥108.00","25-07-10","1"
"o3 (high)","84.99","83.95","1.23%","-","105","-","¥9.68","¥57.60","25-04-16","1"
"o4 mini (high)","83.63","78.97","5.58%","-","116","-","¥6.57","¥32.00","25-04-16","1"
"Seed-1.6 (Think)","80.65","71.70","11.10%","-","218","-","¥2.04","¥8.00","25-06-11","1"
"Seed-1.6-thinking","79.38","69.68","12.22%","+20.4%","360","-","¥3.20","¥8.00","25-06-11","1"
"Seed-1.6-thinking-0715","78.94","71.62","9.28%","-","290","-","¥3.39","¥8.00","25-07-14","1"
"Qwen3-235B-A22B-Instruct-2507","76.41","67.35","11.85%","+54%","214","-","¥0.64","¥6.12","25-07-21","0"
"Sonnet 4 (Think)","75.88","62.96","17.02%","+16.2%","100","-","¥22.01","¥108.00","25-05-23","1"
"Gemini 2.5 Pro","75.64","71.36","5.65%","+2%","71","-","¥19.03","¥73.00","25-06-05","1"
"DeepSeek R1 0528","74.72","66.99","10.35%","+14.4%","558","-","¥5.37","¥16.00","25-05-28","1"
"Qwen3-235B-A22B (Think)","71.50","63.05","11.82%","-","256","-","¥5.75","¥20.00","25-04-29","1"
"Hunyuan T1 0711","69.45","64.09","7.71%","+29.9%","272","-","¥1.76","¥4.00","25-07-11","1"
"Qwen3-32B (Think)","67.12","50.72","24.44%","-","599","-","¥9.92","¥20.00","25-04-29","1"
"Gemini 2.5 Flash (Think)","66.49","55.46","16.58%","+1.9%","46","-","¥5.40","¥18.00","25-05-20","1"
"Grok3 mini","66.12","60.72","8.17%","-","64","-","¥1.61","¥3.65","25-04-10","1"
"Step-R1-V-Mini 0606","65.06","46.19","29.01%","+35.6%","213","-","¥2.78","¥8.00","25-06-06","1"
"Qwen3-30B-A3B (Think)","63.50","47.41","25.34%","-","157","-","¥2.51","¥7.50","25-04-29","1"
"ERNIE X1 Turbo","61.73","49.72","19.47%","+22.9%","241","-","¥1.02","¥4.00","25-04-24","1"
"Gemini 2.5 Lite 0617 (Think)","59.23","43.34","26.83%","-","52","-","¥0.74","¥3.60","25-06-17","1"
"Opus 4","58.53","53.48","8.64%","-","37","-","¥13.94","¥540.00","25-05-23","0"
"Spark X1 0725","57.68","44.98","22.01%","+91.1%","337","-","¥3.38","¥12.00","25-07-25","1"
"SenseNova-V6-Reasoner","57.33","47.91","16.43%","-","247","-","¥3.64","¥16.00","25-04-10","1"
"GPT-4.1 mini","55.14","48.53","11.99%","-","24","-","¥0.84","¥11.60","25-04-15","0"
"MiniMax-M1","53.91","43.83","18.70%","-","294","-","¥1.73","¥8.00","25-06-17","1"
"Hunyuan T1 0521","53.44","43.12","19.31%","+19.9%","192","-","¥1.32","¥4.00","25-05-21","1"
"DeepSeek V3 0324","52.93","42.53","19.65%","-","122","-","¥0.74","¥8.00","25-03-24","0"
"Sonnet 4","52.14","45.97","11.83%","+33.3%","17","-","¥2.97","¥108.00","25-05-23","0"
"kimi-k2-0711-preview","49.39","40.94","17.11%","-","276","-","¥1.25","¥16.00","25-07-11","0"
"Seed-1.6-flash (Think)","47.16","35.74","24.22%","-","134","-","¥0.18","¥0.75","25-06-11","1"
"Pangu Pro MoE","46.49","33.17","28.66%","-","582","-","¥1.79","¥4.00","25-06-30","0"
"Hunyuan-A13B","44.26","33.30","24.77%","-","111","-","¥0.71","¥2.00","25-06-25","0"
"Qwen3-235B-A22B","43.68","35.92","17.77%","-","19","-","¥0.19","¥8.00","25-04-29","0"
"GPT 4.1","43.17","31.25","27.61%","-","26","-","¥3.90","¥58.00","25-04-15","0"
"GPT-4o 0326","42.65","36.13","15.30%","-","15","-","¥4.84","¥108.00","25-03-27","0"
"Gemini 2.5 Flash","40.39","32.76","18.88%","-9.4%","18","-","¥1.06","¥18.00","25-05-20","0"
"GLM-Z1-Flash","39.20","21.64","44.79%","-","91","-","-","-","25-04-15","1"
"SenseNova-V6-Pro","38.93","23.88","38.67%","-","30","-","¥0.42","¥9.00","25-04-10","0"
"Magistral Medium 2506 (Think)","37.91","27.42","27.67%","-","331","-","¥12.66","¥36.00","25-06-08","1"
"ERNIE 4.5 Turbo","37.49","28.51","23.95%","+55.6%","101","-","¥0.33","¥3.20","25-04-24","0"
"Mistral Medium 3","37.32","27.16","27.24%","-","92","-","¥9.16","¥14.60","25-05-07","0"
"Llama4 Maverick","36.34","32.63","10.22%","-","20","-","-","-","25-04-05","0"
"Seed-1.6","36.33","25.35","30.21%","+5.3%","13","-","¥0.23","¥8.00","25-06-11","0"
"ERNIE-4.5-300B-A47B","35.43","28.36","19.94%","-","69","-","¥0.19","¥3.20","25-06-29","0"
"Qwen3-32B","33.51","29.38","12.33%","-","28","-","¥0.22","¥8.00","25-04-29","0"
"Hunyuan TurboS 0604","32.62","26.42","19.00%","+18.3%","62","-","¥0.22","¥2.00","25-06-04","0"
"Grok3 Beta","30.26","-","-","-","21","-","¥5.75","¥108.00","25-04-10","0"
"Spark X1 0420","30.18","18.31","39.35%","-","151","-","-","-","25-04-20","0"
"GLM-4-Air-0414","28.28","24.81","12.26%","-","67","-","¥0.04","¥0.50","25-04-14","0"
"Gemini 2.5 Lite 0617","25.87","21.40","17.30%","-","10","-","¥0.13","¥3.60","25-06-17","0"
"ERNIE-4.5-VL-28B-A3B (Think)","25.31","11.47","54.67%","-","90","-","-","-","25-06-29","1"
"YI-Lightning","24.25","-","-","-","73","-","¥0.03","¥0.99","24-10-16","0"
"ERNIE-4.5-21B-A3B","19.51","13.34","31.59%","-","65","-","-","-","25-06-29","0"
"Baichuan4 Turbo","17.43","-","-","-","18","-","¥0.25","¥15.00","24-11-01","0"
"ERNIE-4.5-VL-28B-A3B","15.81","9.18","41.94%","-","48","-","-","-","25-06-29","0"
